Username, User ID, Session ID,Session Tag,Date,Shape (rows x columns),Duration (ms),Starting Time,Ending Time,Resolution (ms),Resolution (Hz),Unit Measure,Starting Timestamp,Ending Timestamp
user,12345678,5a8ad45a-0fc5-4a98-9252-73fa2824de24,expno1,18-09-2020_15-13-33,53126x6,258399,15:09:47.805,15:13:20.258,4.0,250.0,µV,1600434541862,1600434800261,
Pkg ID,Time,Ch-1,Ch-2,Ch-3,Ch-4,Ch-5,Ch-6,Ch-7,Ch-8
-7,0.0,17.818611,-1282.9684,-1279.6707,-1243.0647,-1243.6553,-1246.6028,
-6,2.0,-2.897156,-1271.4602,-1300.9369,-1243.0682,-1243.6437,-1246.6052,
-5,3.0,-21.07456,-1196.5477,-1157.1826,-1243.0525,-1243.6089,-1246.5829,
-4,11.0,-19.827131,-1194.6084,-1125.5222,-1243.0823,-1243.6708,-1246.6204,
-3,13.0,-0.328396,-1217.9281,-1170.3792,-1243.0778,-1243.6753,-1246.6228,
-2,14.0,19.338114,-1161.7795,-1097.4696,-1243.0814,-1243.6451,-1246.6073,
-1,16.0,20.920494,-1214.955,-1141.4047,-1243.0792,-1243.6658,-1246.6075,
0,17.0,2.94871,-1196.4858,-1152.1774,-1243.0546,-1243.6383,-1246.5769,
1,19.0,-17.898476,-1195.2303,-1127.2029,-1243.0748,-1243.6544,-1246.6127,
2,29.0,-22.273415,-1216.5308,-1169.4023,-1243.0638,-1243.6354,-1246.5916,
3,30.0,-6.11943,-1160.0526,-1094.1598,-1243.0662,-1243.6418,-1246.6135,
4,32.0,15.572884,-1215.6948,-1140.4281,-1243.0885,-1243.6705,-1246.6356,
5,33.0,22.672436,-1195.7986,-1151.1454,-1243.0471,-1243.6368,-1246.5847,
6,35.0,8.591936,-1194.3586,-1125.782,-1243.0798,-1243.6646,-1246.6213,
7,55.0,-13.602508,-1222.8013,-1176.2739,-1243.0569,-1243.6414,-1246.5841,
-8,58.0,-23.318201,-1178.7301,-1117.4049,-1243.0653,-1243.6482,-1246.6034,
-7,60.0,-11.531408,-1222.9595,-1154.5527,-1243.0653,-1243.6321,-1246.6097,
-6,63.0,10.807268,-1197.257,-1153.987,-1243.0662,-1243.649,-1246.6034,
-5,65.0,22.984144,-1196.5123,-1128.7784,-1243.0686,-1243.6431,-1246.618,
-4,67.0,13.69161,-1224.9937,-1179.5403,-1243.0483,-1243.653,-1246.6106,
-3,68.0,-8.438764,-1178.5343,-1118.833,-1243.0548,-1243.6523,-1246.621,
-2,71.0,-22.882526,-1224.9988,-1162.0889,-1243.0581,-1243.6726,-1246.6127,
-1,88.0,-16.215075,-1198.584,-1156.5181,-1243.0537,-1243.658,-1246.6151,
0,90.0,5.359828,-1197.9951,-1130.4171,-1243.0521,-1243.6478,-1246.5948,
1,92.0,21.837141,-1225.2275,-1175.9489,-1243.0352,-1243.6309,-1246.5781,
2,94.0,17.911589,-1183.2007,-1119.5396,-1243.0581,-1243.6532,-1246.605,
3,95.0,-2.75352,-1227.9012,-1160.8348,-1243.0701,-1243.6577,-1246.6168,
4,97.0,-21.00602,-1200.0529,-1156.867,-1243.0352,-1243.6342,-1246.5793,
5,98.0,-19.88703,-1200.398,-1134.048,-1243.0745,-1243.6732,-1246.6177,
6,100.0,-0.452364,-1225.7163,-1180.3247,-1243.0343,-1243.6302,-1246.5922,
7,102.0,19.279408,-1175.0093,-1111.4315,-1243.0441,-1243.6259,-1246.587,
-8,104.0,20.989035,-1221.8805,-1148.1451,-1243.0608,-1243.6681,-1246.6252,
-7,108.0,3.099796,-1200.5714,-1156.1068,-1243.0564,-1243.6472,-1246.607,
-6,109.0,-17.797752,-1200.6223,-1133.7869,-1243.0829,-1243.6619,-1246.6327,
-5,111.0,-22.307684,-1221.5104,-1178.1812,-1243.0474,-1243.6458,-1246.5936,
-4,113.0,-6.248166,-1170.741,-1110.5819,-1243.0527,-1243.6425,-1246.599,
-3,114.0,15.481696,-1219.3981,-1148.7122,-1243.0736,-1243.6699,-1246.6129,
-2,116.0,22.718328,-1200.0504,-1155.9677,-1243.0515,-1243.6544,-1246.6075,
-1,117.0,8.733486,-1199.9912,-1131.964,-1243.0754,-1243.6687,-1246.6216,
0,125.0,-13.47556,-1227.8741,-1180.8801,-1243.0585,-1243.6589,-1246.6028,
1,127.0,-23.31403,-1184.0627,-1122.0541,-1243.0585,-1243.6532,-1246.6034,
2,142.0,-11.649416,-1224.4182,-1152.2456,-1243.0623,-1243.6523,-1246.6017,
3,143.0,10.690452,-1201.2192,-1157.1655,-1243.0548,-1243.6517,-1246.6064,
4,145.0,22.986826,-1200.9039,-1131.897,-1243.0769,-1243.6652,-1246.6332,
5,160.0,13.813492,-1227.2125,-1179.9298,-1243.0366,-1243.6497,-1246.6199,
6,178.0,-8.294532,-1180.9758,-1119.2522,-1243.059,-1243.6437,-1246.6237,
7,181.0,-22.847063,-1224.9934,-1156.8748,-1243.0596,-1243.6517,-1246.6207,
-8,183.0,-16.320566,-1201.848,-1158.3416,-1243.0596,-1243.6565,-1246.6193,
-7,186.0,5.212914,-1201.0878,-1131.0999,-1243.0802,-1243.6598,-1246.629,
-6,188.0,21.786184,-1225.8802,-1176.8446,-1243.0659,-1243.6362,-1246.6067,
-5,191.0,18.004267,-1180.9438,-1118.3835,-1243.0626,-1243.6377,-1246.5883,
-4,193.0,-2.607202,-1225.309,-1155.0391,-1243.0629,-1243.6562,-1246.6017,
-3,195.0,-20.931221,-1202.1758,-1157.862,-1243.0647,-1243.6451,-1246.605,
-2,199.0,-19.956465,-1201.3518,-1130.6504,-1243.0715,-1243.6482,-1246.6067,
-1,201.0,-0.587358,-1223.6559,-1175.3352,-1243.0623,-1243.6368,-1246.61,
0,202.0,19.20759,-1172.9828,-1111.0686,-1243.0552,-1243.6625,-1246.6112,
1,204.0,21.052807,-1219.3317,-1145.6724,-1243.0596,-1243.6488,-1246.6166,
2,206.0,3.247008,-1201.3774,-1156.1178,-1243.0221,-1243.6333,-1246.5883,
3,208.0,-17.694942,-1200.1304,-1128.711,-1243.0486,-1243.6292,-1246.6106,
4,209.0,-22.335398,-1221.3557,-1174.0625,-1243.0599,-1243.6589,-1246.6257,
5,212.0,-6.368856,-1173.7332,-1112.5824,-1243.0665,-1243.6633,-1246.616,
6,216.0,15.3881235,-1219.2349,-1144.3352,-1243.0734,-1243.6401,-1246.6234,
7,217.0,22.753492,-1200.3556,-1154.8123,-1243.0542,-1243.6371,-1246.6097,
-8,225.0,8.886062,-1199.1956,-1125.4998,-1243.0438,-1243.6381,-1246.6156,
-7,242.0,-13.344738,-1229.7524,-1176.9012,-1243.0453,-1243.618,-1246.5924,
-6,244.0,-23.30807,-1185.5918,-1122.7031,-1243.0647,-1243.6437,-1246.6001,
-5,246.0,-11.762954,-1224.9537,-1151.0753,-1243.0792,-1243.647,-1246.6193,
-4,248.0,10.569762,-1201.2434,-1155.8577,-1243.054,-1243.6371,-1246.5996,
-3,250.0,22.982655,-1199.5239,-1124.7489,-1243.065,-1243.6666,-1246.6133,
-2,259.0,13.940142,-1229.6511,-1177.3018,-1243.0558,-1243.6708,-1246.5948,
-1,261.0,-8.157154,-1185.1398,-1124.804,-1243.0444,-1243.6451,-1246.5844,
0,263.0,-22.815178,-1226.8997,-1160.5259,-1243.0334,-1243.6497,-1246.6046,
1,265.0,-16.413542,-1202.0778,-1157.6555,-1243.0319,-1243.6428,-1246.5936,
2,266.0,5.09133,-1199.3436,-1124.2246,-1243.0504,-1243.6333,-1246.6011,
3,268.0,21.75549,-1223.8154,-1172.3627,-1243.0527,-1243.655,-1246.6127,
4,269.0,18.112738,-1178.4812,-1117.9971,-1243.0548,-1243.6571,-1246.6151,
5,276.0,-2.451348,-1223.4685,-1153.2222,-1243.0626,-1243.6538,-1246.6189,
6,277.0,-20.86,-1201.5197,-1156.2057,-1243.0593,-1243.6445,-1246.6052,
7,279.0,-20.017853,-1199.0734,-1123.6293,-1243.0781,-1243.6589,-1246.6127,
-8,293.0,-0.727418,-1223.8976,-1171.9476,-1243.0558,-1243.6511,-1246.6201,
-7,295.0,19.129215,-1173.9635,-1112.5693,-1243.0682,-1243.6565,-1246.6278,
-6,297.0,21.112406,-1219.8931,-1146.1306,-1243.0718,-1243.6547,-1246.6177,
-5,298.0,3.38826,-1200.5535,-1154.4758,-1243.074,-1243.6681,-1246.6177,
-4,300.0,-17.601667,-1197.0156,-1121.1785,-1243.0831,-1243.6833,-1246.6302,
-3,309.0,-22.380098,-1216.6437,-1166.6727,-1243.0767,-1243.6627,-1246.6187,
-2,311.0,-6.511896,-1167.0255,-1107.2345,-1243.081,-1243.6678,-1246.6199,
-1,313.0,15.279354,-1214.7803,-1138.9861,-1243.0784,-1243.6598,-1246.6189,
0,314.0,22.771969,-1198.1746,-1151.3153,-1243.0682,-1243.641,-1246.5972,
1,326.0,9.011818,-1195.1931,-1117.9226,-1243.068,-1243.6497,-1246.6046,
2,343.0,-13.225538,-1227.0216,-1174.4827,-1243.0665,-1243.6565,-1246.6025,
3,345.0,-23.317606,-1177.8652,-1120.5745,-1243.0531,-1243.655,-1246.6007,
4,359.0,-11.884836,-1217.6593,-1146.3604,-1243.0665,-1243.66,-1246.6129,
5,362.0,10.45235,-1198.0583,-1152.4197,-1243.0616,-1243.6461,-1246.6085,
6,364.0,22.96984,-1193.7856,-1116.5461,-1243.0653,-1243.6434,-1246.6017,
7,366.0,14.048614,-1224.3297,-1171.305,-1243.0701,-1243.6398,-1246.5933,
-8,368.0,-8.019776,-1178.8966,-1119.0365,-1243.0643,-1243.664,-1246.6145,
-7,370.0,-22.778822,-1222.292,-1151.9902,-1243.0745,-1243.6451,-1246.6156,
-6,372.0,-16.510391,-1197.8516,-1153.0234,-1243.062,-1243.6407,-1246.6001,
-5,374.0,4.952462,-1192.8875,-1115.1774,-1243.0616,-1243.6598,-1246.6112,
-4,376.0,21.707214,-1221.5476,-1166.3538,-1243.0596,-1243.6437,-1246.6112,
-3,381.0,18.199755,-1176.9221,-1113.6576,-1243.0674,-1243.6443,-1246.5933,
-2,383.0,-2.308308,-1220.7487,-1144.3387,-1243.0858,-1243.6425,-1246.61,
-1,385.0,-20.8004,-1197.2177,-1151.128,-1243.0817,-1243.6544,-1246.6204,
0,387.0,-20.098907,-1192.3517,-1113.8269,-1243.0798,-1243.6685,-1246.6207,
1,389.0,-0.874332,-1221.6587,-1167.1895,-1243.0814,-1243.6687,-1246.622,
2,391.0,19.050545,-1171.2842,-1107.8937,-1243.0903,-1243.653,-1246.6187,
3,397.0,21.1729,-1215.9702,-1136.5526,-1243.0713,-1243.6547,-1246.6168,
4,398.0,3.533088,-1196.112,-1149.3398,-1243.0647,-1243.6517,-1246.618,
5,399.0,-17.508097,-1189.8622,-1110.3212,-1243.0674,-1243.6633,-1246.6359,
6,401.0,-22.419731,-1212.9948,-1155.9873,-1243.0728,-1243.6395,-1246.6332,
7,409.0,-6.652552,-1163.9432,-1098.1056,-1243.1038,-1243.6687,-1246.6517,
-8,412.0,15.1682,-1209.3829,-1123.4847,-1243.0876,-1243.6633,-1246.6362,
-7,425.0,22.78806,-1193.6345,-1144.1082,-1243.0575,-1243.6309,-1246.6097,
-6,427.0,9.136084,-1187.9845,-1106.0524,-1243.0745,-1243.6569,-1246.6371,
-5,429.0,-13.109616,-1222.5813,-1165.0056,-1243.0686,-1243.6482,-1246.6282,
-4,430.0,-23.325651,-1173.7222,-1110.3799,-1243.0558,-1243.6404,-1246.624,
-3,432.0,-12.01387,-1213.3488,-1131.1576,-1243.0662,-1243.6488,-1246.6282,
-2,442.0,10.324508,-1193.341,-1144.7285,-1243.067,-1243.6604,-1246.6323,
-1,444.0,22.955536,-1186.7073,-1103.6954,-1243.0728,-1243.644,-1246.6108,
