time,,,,,,,
0.0,1597412004.125876,5524081,5661093,6952,8791,4206,-133,
0.004,1597412004.1259694,5515638,5533394,175,2172,-2878,-7119,
0.008,1597412004.1260297,5513037,5390915,-2155,11,-5077,-9224,
0.012,1597412004.126074,5521211,5368309,4798,6741,2072,-2125,
0.016,1597412004.1261175,5526622,5480723,8986,10885,6373,2156,
0.02,1597412004.1261601,5523928,5623403,6997,8727,4152,-132,
0.024,1597412004.1262085,5515616,5664057,179,2090,-2785,-7077,
0.028,1597412004.126262,5513607,5569036,-1635,458,-4622,-8781,
0.032,1597412004.1263034,5521178,5428064,4787,6529,2011,-2213,
0.036000000000000004,1597412004.126347,5526730,5367252,9103,10838,6480,2169,
0.04000000000000001,1597412004.1263912,5524176,5442211,7212,8928,4373,7,
0.04400000000000001,1597412004.1264338,5515593,5582982,332,2246,-2700,-7176,
0.048000000000000015,1597412004.1264825,5513457,5663545,-1810,333,-4780,-8993,
0.05200000000000002,1597412004.126525,5521226,5610509,4753,6641,2110,-2117,
0.05600000000000002,1597412004.1265686,5526799,5468326,9038,10855,6451,2188,
0.060000000000000026,1597412004.126609,5524225,5368025,7038,8870,4248,-51,
0.06400000000000003,1597412004.1266472,5515677,5402563,211,2223,-2757,-7104,
0.06800000000000003,1597412004.1266875,5513324,5544029,-1922,281,-4899,-9056,
0.07200000000000004,1597412004.126728,5521242,5663139,4772,6605,2079,-2128,
0.07600000000000004,1597412004.1267757,5526705,5643880,8926,10817,6449,2113,
0.08000000000000004,1597412004.126813,5524076,5503678,6966,8829,4230,-160,
0.08400000000000005,1597412004.1268516,5515619,5372352,291,2230,-2660,-7085,
0.08800000000000005,1597412004.126899,5513474,5376113,-1735,326,-4746,-8947,
0.09200000000000005,1597412004.1269367,5521244,5513034,4805,6667,1990,-2218,
0.09600000000000006,1597412004.126976,5526476,5650843,8955,10770,6345,2052,
0.10000000000000006,1597412004.1270137,5524055,5661437,6958,8821,4188,-126,
0.10400000000000006,1597412004.1270528,5515724,5534429,218,2219,-2752,-7075,
0.10800000000000007,1597412004.1270926,5513346,5391848,-1866,199,-4918,-9058,
0.11200000000000007,1597412004.127131,5521177,5367999,4794,6660,2009,-2153,
0.11600000000000008,1597412004.12717,5526608,5479766,8955,10816,6368,2146,
0.12000000000000008,1597412004.127219,5524057,5622802,7009,8814,4225,-125,
0.12400000000000008,1597412004.1272595,5515702,5664298,332,2280,-2652,-7009,
0.12800000000000009,1597412004.1272984,5513230,5569540,-1868,162,-4825,-8942,
0.1320000000000001,1597412004.1273355,5521264,5428947,4904,6759,2104,-2015,
0.1360000000000001,1597412004.127375,5526357,5366837,8780,10591,6171,1965,
0.1400000000000001,1597412004.1274133,5524152,5441373,6930,8775,4215,-132,
0.1440000000000001,1597412004.1274517,5515523,5582036,-41,1971,-2972,-7399,
0.1480000000000001,1597412004.1274903,5512793,5662781,-2442,-397,-5438,-9745,
0.1520000000000001,1597412004.127528,5520955,5610976,4638,6452,1834,-2404,
0.1560000000000001,1597412004.1275673,5526223,5468635,8743,10574,6111,1788,
0.16000000000000011,1597412004.1276057,5524148,5368125,7047,8888,4303,-81,
0.16400000000000012,1597412004.1276581,5515742,5401945,303,2189,-2744,-7127,
0.16800000000000012,1597412004.1276977,5512695,5542452,-2557,-494,-5548,-9628,
0.17200000000000013,1597412004.1277359,5521305,5662863,4694,6552,1954,-2196,
0.17600000000000013,1597412004.1277752,5527021,5644756,9313,11105,6701,2366,
0.18000000000000013,1597412004.1278217,5524508,5505018,7350,9214,4563,162,
0.18400000000000014,1597412004.127861,5515979,5373112,489,2425,-2477,-6930,
0.18800000000000014,1597412004.1279,5513368,5375512,-1780,218,-4774,-9083,
0.19200000000000014,1597412004.1279387,5520974,5511850,4698,6437,1930,-2392,
0.19600000000000015,1597412004.1279757,5526663,5650512,9042,10808,6441,2144,
0.20000000000000015,1597412004.1280148,5523932,5661688,6899,8622,4162,-200,
0.20400000000000015,1597412004.1280532,5515752,5535336,325,2214,-2540,-7055,
0.20800000000000016,1597412004.1280916,5513232,5392315,-2053,-23,-4945,-9153,
0.21200000000000016,1597412004.128144,5521072,5367615,4777,6566,2117,-2181,
0.21600000000000016,1597412004.1281843,5526314,5478537,8814,10585,6301,1991,
0.22000000000000017,1597412004.1282234,5524137,5622124,6882,8702,4117,-251,
0.22400000000000017,1597412004.1282606,5515821,5664510,259,2227,-2709,-7084,
0.22800000000000017,1597412004.1282992,5513236,5570382,-1972,82,-4855,-9127,
