time,,,,,,,
0.0,1597403565.9163463,-2772,4171057,143559,390412,-4705791,-3890,
0.004,1597403565.9164271,-918,4171200,33452,-3724981,-485178,-255,
0.008,1597403565.9164724,-17233,4170709,-110755,-3802787,-252803,1195,
0.012,1597403565.9165184,-46113,4170388,-155364,-1298884,-2658123,-20365,
0.016,1597403565.9165742,-38568,4170517,-58868,2652177,-6676414,-60225,
0.02,1597403565.9166198,-2828,4171037,89056,467171,-4728032,-3926,
0.024,1597403565.9166641,-926,4171181,151290,-3828805,-499120,-260,
0.028,1597403565.9167073,-17676,4170627,69958,-3969189,-267021,1349,
0.032,1597403565.9167473,-46515,4170388,-79340,-1318434,-2713853,-20057,
0.036000000000000004,1597403565.916791,-38896,4170526,-158206,2788495,-6714431,-59032,
0.04000000000000001,1597403565.9168346,-2693,4170954,-93308,653719,-4732186,-3915,
0.04400000000000001,1597403565.9168792,-1002,4171135,54983,-3733694,-497949,-285,
0.048000000000000015,1597403565.9169219,-17343,4170673,149214,-4059119,-256401,1202,
0.05200000000000002,1597403565.9169693,-47311,4170375,101814,-1529245,-2686034,-19057,
0.05600000000000002,1597403565.917013,-38910,4170566,-43098,2641160,-6686088,-56022,
0.060000000000000026,1597403565.9170551,-2780,4171012,-151197,692357,-4712981,-3856,
0.06400000000000003,1597403565.917095,-1008,4171170,-122047,-3561621,-492921,-272,
0.06800000000000003,1597403565.9171367,-17119,4170646,17204,-3921874,-261606,1217,
0.07200000000000004,1597403565.917177,-46696,4170348,137416,-1551312,-2700296,-18583,
0.07600000000000004,1597403565.9172156,-38371,4170517,126965,2493946,-6709842,-54951,
0.08000000000000004,1597403565.9172533,-2807,4171020,-4417,564355,-4731836,-3855,
0.08400000000000005,1597403565.9172904,-1071,4171165,-134813,-3548466,-493346,-279,
0.08800000000000005,1597403565.9173439,-17473,4170657,-143226,-3758086,-265025,1242,
0.09200000000000005,1597403565.9173827,-46735,4170352,-21859,-1393955,-2696280,-20382,
0.09600000000000006,1597403565.9174209,-38969,4170497,116685,2526438,-6726822,-59759,
0.10000000000000006,1597403565.917461,-2809,4171024,143856,446570,-4762192,-3908,
0.10400000000000006,1597403565.9174986,-1055,4171155,34391,-3707342,-503538,-327,
0.10800000000000007,1597403565.9175382,-17784,4170676,-110033,-3802108,-254171,1223,
0.11200000000000007,1597403565.9175766,-46921,4170353,-155542,-1266292,-2689258,-20122,
0.11600000000000008,1597403565.9176152,-39270,4170528,-59753,2704481,-6728009,-59434,
0.12000000000000008,1597403565.9176524,-2736,4171008,88286,505531,-4765668,-3885,
0.12400000000000008,1597403565.9176915,-1062,4171177,151349,-3822831,-505177,-302,
0.12800000000000009,1597403565.9177442,-17200,4170739,70782,-3977019,-260064,1318,
0.1320000000000001,1597403565.9177842,-47112,4170374,-78508,-1338588,-2694653,-19313,
0.1360000000000001,1597403565.917822,-37967,4170591,-158155,2763368,-6691546,-56761,
0.1400000000000001,1597403565.91786,-2768,4171071,-94089,620260,-4698063,-3836,
0.1440000000000001,1597403565.9178987,-1078,4171169,54103,-3741990,-488839,-255,
0.1480000000000001,1597403565.9179378,-17437,4170632,149057,-4046550,-268804,1292,
0.1520000000000001,1597403565.9179752,-46097,4170404,102525,-1503445,-2711981,-19750,
0.1560000000000001,1597403565.918014,-37957,4170580,-42201,2665920,-6711301,-56194,
0.16000000000000011,1597403565.918053,-2638,4171027,-150912,726012,-4746976,-3855,
0.16400000000000012,1597403565.9180913,-924,4171138,-122653,-3555544,-498465,-287,
0.16800000000000012,1597403565.918129,-17787,4170694,16273,-3920624,-261944,1191,
0.17200000000000013,1597403565.9181676,-47141,4170370,137020,-1550924,-2698856,-18402,
0.17600000000000013,1597403565.9182198,-38753,4170522,127481,2487799,-6701880,-55724,
0.18000000000000013,1597403565.9182603,-2789,4171022,-3454,531888,-4700366,-3825,
0.18400000000000014,1597403565.918299,-1033,4171161,-134306,-3556923,-485386,-288,
0.18800000000000014,1597403565.918337,-17567,4170661,-143647,-3761365,-261227,1210,
0.19200000000000014,1597403565.9183755,-45981,4170330,-22813,-1394985,-2694391,-20452,
0.19600000000000015,1597403565.9184136,-38727,4170524,116056,2501625,-6702908,-58729,
0.20000000000000015,1597403565.918452,-2734,4170974,144134,407682,-4723624,-3873,
0.20400000000000015,1597403565.9184902,-792,4171140,35312,-3719209,-492706,-296,
0.20800000000000016,1597403565.9185283,-16943,4170691,-109333,-3803062,-253891,1120,
0.21200000000000016,1597403565.9185662,-46195,4170401,-155704,-1292639,-2664275,-19287,
0.21600000000000016,1597403565.9186156,-39109,4170491,-60651,2642033,-6666973,-57295,
0.22000000000000017,1597403565.9186544,-2908,4170981,87515,448637,-4707884,-3903,
0.22400000000000017,1597403565.9186933,-1090,4171129,151403,-3835654,-492331,-331,
0.22800000000000017,1597403565.9187315,-17280,4170694,71603,-3980654,-257263,1140,
0.23200000000000018,1597403565.918771,-46706,4170322,-77703,-1350508,-2684325,-19577,
0.23600000000000018,1597403565.9188082,-38563,4170538,-158095,2764452,-6692607,-57282,
0.24000000000000019,1597403565.9188464,-2791,4171037,-94862,651098,-4728136,-3830,
0.2440000000000002,1597403565.9188845,-988,4171144,53213,-3731173,-498531,-329,
0.2480000000000002,1597403565.9189227,-17436,4170632,148846,-4053446,-261477,1069,
0.25200000000000017,1597403565.9189608,-46596,4170322,103183,-1524373,-2691243,-19580,
0.25600000000000017,1597403565.9190004,-38110,4170522,-41290,2646747,-6691912,-56832,
0.2600000000000002,1597403565.9190392,-2584,4171014,-150619,674122,-4695313,-3918,
0.2640000000000002,1597403565.9190867,-1043,4171091,-123259,-3570796,-482465,-271,
0.2680000000000002,1597403565.9191263,-18149,4170655,15320,-3911749,-269776,1206,
0.2720000000000002,1597403565.9191644,-46369,4170348,136599,-1556412,-2694914,-18897,
0.2760000000000002,1597403565.9192023,-38025,4170502,127983,2448767,-6667189,-54434,
0.2800000000000002,1597403565.9192414,-2699,4170989,-2506,519350,-4688661,-3807,
0.2840000000000002,1597403565.9192796,-909,4171091,-133783,-3560071,-482670,-266,
0.2880000000000002,1597403565.919318,-17569,4170610,-144049,-3758335,-263720,1291,
0.2920000000000002,1597403565.9193554,-47367,4170338,-23736,-1362917,-2725195,-19229,
0.2960000000000002,1597403565.9193945,-39136,4170525,115468,2532981,-6734463,-57709,
0.3000000000000002,1597403565.919432,-2798,4171069,144447,427494,-4743778,-3927,
0.3040000000000002,1597403565.9194705,-939,4171222,36248,-3712497,-500433,-309,
0.3080000000000002,1597403565.919508,-17506,4170678,-108655,-3795115,-262570,1234,
0.3120000000000002,1597403565.9195576,-46901,4170321,-155887,-1251841,-2703975,-20016,
0.3160000000000002,1597403565.9195967,-39035,4170466,-61517,2662670,-6688263,-56338,
0.32000000000000023,1597403565.9196367,-2854,4170938,86759,422967,-4681603,-3843,
0.32400000000000023,1597403565.9196749,-937,4171115,151466,-3847564,-480484,-260,
0.32800000000000024,1597403565.9197133,-17337,4170631,72451,-3978892,-259814,1296,
0.33200000000000024,1597403565.9197507,-46701,4170301,-76861,-1327078,-2707617,-19508,
0.33600000000000024,1597403565.9197984,-38572,4170540,-158028,2772932,-6701448,-56451,
0.34000000000000025,1597403565.9198663,-2716,4170969,-95629,600144,-4676479,-3830,
0.34400000000000025,1597403565.9199035,-965,4171065,52320,-3749515,-479304,-333,
0.34800000000000025,1597403565.91994,-17613,4170657,148670,-4050161,-264665,1292,
0.35200000000000026,1597403565.9199774,-47318,4170316,103874,-1484062,-2731276,-20143,
0.35600000000000026,1597403565.9200282,-38530,4170525,-40374,2706340,-6750850,-58705,
0.36000000000000026,1597403565.9200664,-2721,4170989,-150330,723319,-4744818,-3912,
0.36400000000000027,1597403565.9201038,-1025,4171144,-123871,-3555326,-497360,-309,
0.36800000000000027,1597403565.920142,-17441,4170646,14376,-3915288,-265182,1266,
0.3720000000000003,1597403565.9201803,-46092,4170332,136194,-1548490,-2699257,-19250,
0.3760000000000003,1597403565.9202168,-38072,4170485,128489,2495931,-6709436,-57556,
0.3800000000000003,1597403565.9202578,-2709,4171034,-1560,534229,-4704551,-3897,
0.3840000000000003,1597403565.9202957,-850,4171186,-133252,-3562660,-480695,-337,
0.3880000000000003,1597403565.9203353,-17320,4170669,-144423,-3753827,-267964,1219,
0.3920000000000003,1597403565.9203718,-47063,4170359,-24678,-1370757,-2716363,-20143,
0.3960000000000003,1597403565.9204571,-38618,4170551,114844,2526863,-6725740,-58813,
0.4000000000000003,1597403565.9205077,-2755,4170953,144698,419175,-4735671,-3909,
0.4040000000000003,1597403565.9205477,-941,4171116,37124,-3720556,-493191,-293,
0.4080000000000003,1597403565.9205854,-17646,4170627,-107966,-3791484,-266740,1261,
0.4120000000000003,1597403565.920624,-47081,4170308,-156074,-1233178,-2723585,-18478,
0.4160000000000003,1597403565.920663,-38677,4170428,-62414,2696850,-6722990,-55298,
0.4200000000000003,1597403565.9206998,-2779,4170939,85980,470107,-4727929,-3879,
0.4240000000000003,1597403565.920739,-983,4171099,151542,-3839050,-489028,-353,
0.4280000000000003,1597403565.920776,-17518,4170629,73306,-3972308,-267143,1226,
0.43200000000000033,1597403565.9208145,-46614,4170394,-76012,-1311425,-2724498,-20247,
0.43600000000000033,1597403565.9208522,-38221,4170562,-157980,2804485,-6731604,-58650,
0.44000000000000034,1597403565.9208908,-2745,4171055,-96404,648606,-4724090,-3858,
0.44400000000000034,1597403565.9209278,-966,4171119,51437,-3736028,-491950,-342,
0.44800000000000034,1597403565.9209778,-17553,4170645,148473,-4047553,-266928,1229,
0.45200000000000035,1597403565.921016,-48438,4170313,104529,-1482452,-2731198,-20855,
0.45600000000000035,1597403565.921054,-38822,4170543,-39482,2707832,-6750725,-59803,
0.46000000000000035,1597403565.9211004,-2681,4171045,-150022,717511,-4739397,-3898,
0.46400000000000036,1597403565.9211402,-984,4171131,-124470,-3558477,-493600,-345,
0.46800000000000036,1597403565.9211853,-17579,4170689,13413,-3907924,-271575,1187,
0.47200000000000036,1597403565.9212234,-46890,4170440,135746,-1505662,-2740396,-20674,
0.47600000000000037,1597403565.921263,-38570,4170581,128965,2547880,-6760232,-59709,
0.48000000000000037,1597403565.9213,-2628,4171010,-630,546773,-4718047,-3901,
0.4840000000000004,1597403565.921339,-1031,4171157,-132775,-3562371,-481350,-330,
0.4880000000000004,1597403565.921376,-17636,4170651,-144867,-3752608,-268622,1275,
0.4920000000000004,1597403565.9214127,-46704,4170345,-25667,-1354692,-2731878,-20398,
0.4960000000000004,1597403565.9214616,-38518,4170485,114186,2517760,-6719569,-56683,
0.5000000000000003,1597403565.9215019,-2678,4170941,144961,370166,-4686972,-3906,
0.5040000000000003,1597403565.9215386,-956,4171120,38021,-3738325,-476256,-323,
0.5080000000000003,1597403565.9215753,-17811,4170651,-107294,-3800620,-258324,1242,
0.5120000000000003,1597403565.9216208,-47007,4170325,-156285,-1279819,-2676419,-19013,
0.5160000000000003,1597403565.921658,-38777,4170511,-63316,2640206,-6665657,-54815,
0.5200000000000004,1597403565.9216952,-2713,4170981,85153,393945,-4650990,-3887,
0.5240000000000004,1597403565.921732,-1029,4171135,151513,-3859661,-468405,-328,
0.5280000000000004,1597403565.921769,-17626,4170650,74059,-3973719,-266482,1294,
0.5320000000000004,1597403565.9218154,-46556,4170335,-75211,-1318480,-2718532,-18747,
0.5360000000000004,1597403565.9218538,-37915,4170502,-157914,2788814,-6719558,-54373,
0.5400000000000004,1597403565.9218905,-2804,4171028,-97180,628397,-4703169,-3837,
0.5440000000000004,1597403565.921927,-985,4171087,50517,-3742663,-484420,-333,
0.5480000000000004,1597403565.9219666,-17661,4170669,148251,-4042804,-271676,1312,
0.5520000000000004,1597403565.922004,-47845,4170338,105205,-1465740,-2751577,-18671,
0.5560000000000004,1597403565.922041,-38551,4170475,-38539,2705755,-6754115,-55853,
0.5600000000000004,1597403565.9220786,-2607,4170968,-149740,703292,-4725448,-3928,
0.5640000000000004,1597403565.922117,-1031,4171115,-125099,-3563666,-487808,-315,
0.5680000000000004,1597403565.9221559,-17703,4170652,12438,-3905528,-272955,1245,
0.5720000000000004,1597403565.9222028,-46883,4170272,135304,-1501685,-2745257,-18851,
0.5760000000000004,1597403565.922241,-38602,4170492,129428,2533574,-6750433,-55629,
0.5800000000000004,1597403565.922287,-2750,4171002,273,552897,-4725138,-3893,
0.5840000000000004,1597403565.9223359,-1038,4171129,-132274,-3556975,-487294,-329,
0.5880000000000004,1597403565.9223747,-17738,4170632,-145255,-3753613,-267286,1221,
0.5920000000000004,1597403565.922412,-47114,4170357,-26625,-1356048,-2728690,-19295,
0.5960000000000004,1597403565.9224505,-38395,4170448,113575,2535251,-6734139,-57066,
0.6000000000000004,1597403565.922487,-2666,4170985,145235,413787,-4730887,-3886,
0.6040000000000004,1597403565.922526,-1033,4171118,38923,-3720896,-494575,-314,
0.6080000000000004,1597403565.9225636,-17571,4170628,-106607,-3794086,-265498,1316,
0.6120000000000004,1597403565.9226012,-46806,4170345,-156415,-1217486,-2737636,-19765,
0.6160000000000004,1597403565.9226391,-38416,4170480,-64181,2728300,-6747769,-59130,
0.6200000000000004,1597403565.922677,-2672,4170987,84409,446903,-4703205,-3860,
