time,,,,,,,
0.0,1597403415.5769095,4171307,117997,-4284312,86366,-91212,-132,
0.004,1597403415.5769894,4164605,-19988,-4144456,1396724,-1381481,-1774,
0.008,1597403415.5770504,4158282,-142211,-4020657,5539009,-5397301,-89955,
0.012,1597403415.577095,4171580,-135259,-4028413,6743806,-6725211,-23096,
0.016,1597403415.5771387,4174579,-5576,-4160865,2380725,-2390447,-1296,
0.02,1597403415.5771816,4171098,126491,-4292729,86551,-91540,-62,
0.024,1597403415.5772247,4164376,138386,-4302780,1386814,-1371328,-1707,
0.028,1597403415.5772696,4156799,19080,-4181923,5529933,-5389016,-90379,
0.032,1597403415.5773087,4171504,-120706,-4042992,6732953,-6714437,-23084,
0.036000000000000004,1597403415.577354,4174628,-151323,-4015204,2381873,-2391450,-1303,
0.04000000000000001,1597403415.5774078,4171291,-44257,-4122108,85634,-90589,-45,
0.04400000000000001,1597403415.577452,4164490,101049,-4265422,1371961,-1356809,-1790,
0.048000000000000015,1597403415.5775082,4157830,149829,-4312538,5526375,-5381083,-93561,
0.05200000000000002,1597403415.5775523,4171590,56744,-4220321,6753922,-6733531,-24781,
0.05600000000000002,1597403415.577598,4174702,-91726,-4074807,2393156,-2402811,-1288,
0.060000000000000026,1597403415.57764,4171281,-157942,-4008432,84694,-89707,-16,
0.06400000000000003,1597403415.5776808,4164440,-80304,-4084137,1376075,-1360802,-1625,
0.06800000000000003,1597403415.5777247,4157460,68990,-4231759,5531015,-5386442,-91113,
0.07200000000000004,1597403415.5777638,4171500,151535,-4315066,6773678,-6753911,-23995,
0.07600000000000004,1597403415.5778031,4174749,90617,-4257067,2395853,-2405571,-1313,
0.08000000000000004,1597403415.5778413,4171466,-57122,-4109261,84979,-90068,-54,
0.08400000000000005,1597403415.577879,4164395,-154710,-4009739,1363918,-1348628,-1651,
0.08800000000000005,1597403415.5779161,4156286,-111469,-4051353,5507124,-5363663,-91736,
0.09200000000000005,1597403415.5779665,4171421,32347,-4195948,6756562,-6737080,-23834,
0.09600000000000006,1597403415.5780044,4174726,143419,-4309898,2408227,-2417920,-1286,
0.10000000000000006,1597403415.5780435,4171354,118561,-4284931,83983,-89152,-27,
0.10400000000000006,1597403415.5780818,4164784,-19073,-4145400,1352717,-1337558,-1533,
0.10800000000000007,1597403415.5781198,4157383,-141821,-4021081,5507800,-5363225,-91804,
0.11200000000000007,1597403415.578157,4171517,-135743,-4027917,6774428,-6753862,-24809,
0.11600000000000008,1597403415.578196,4174720,-6518,-4159948,2432094,-2441758,-1316,
0.12000000000000008,1597403415.5782328,4171476,125978,-4292282,87633,-92765,-95,
0.12400000000000008,1597403415.5782707,4164681,138780,-4303196,1357799,-1343236,-1514,
0.12800000000000009,1597403415.5783093,4157876,19988,-4182786,5478013,-5340729,-87563,
0.1320000000000001,1597403415.5783494,4171479,-120105,-4043497,6753276,-6734392,-23171,
0.1360000000000001,1597403415.5784037,4174662,-151604,-4014952,2404373,-2413968,-1324,
0.1400000000000001,1597403415.5784428,4171299,-45166,-4121197,84653,-89826,-27,
0.1440000000000001,1597403415.5784824,4164444,100349,-4264759,1361151,-1346703,-1406,
0.1480000000000001,1597403415.5785196,4157437,149989,-4312782,5490882,-5351875,-89112,
0.1520000000000001,1597403415.5785587,4171415,57626,-4221148,6785497,-6765778,-23903,
0.1560000000000001,1597403415.578596,4174703,-90933,-4075583,2438072,-2447687,-1319,
0.16000000000000011,1597403415.578635,4171373,-157949,-4008498,84616,-89718,-37,
0.16400000000000012,1597403415.578672,4164549,-81111,-4083302,1329775,-1315584,-1685,
0.16800000000000012,1597403415.5787113,4157342,68154,-4230959,5431444,-5295591,-86759,
0.17200000000000013,1597403415.5787497,4171380,151462,-4314980,6750022,-6731277,-22924,
0.17600000000000013,1597403415.578788,4174704,91385,-4257890,2436855,-2446479,-1341,
0.18000000000000013,1597403415.5788257,4171410,-56188,-4110199,87803,-92941,-32,
0.18400000000000014,1597403415.578875,4164540,-154484,-4009961,1349328,-1334932,-1169,
0.18800000000000014,1597403415.5789156,4157215,-112132,-4050734,5458592,-5322066,-85949,
0.19200000000000014,1597403415.5789528,4171373,31440,-4194941,6764028,-6744167,-24010,
0.19600000000000015,1597403415.5789921,4174667,143098,-4309523,2431332,-2440966,-1327,
0.20000000000000015,1597403415.579029,4171402,119145,-4285551,85661,-90817,-37,
0.20400000000000015,1597403415.5790684,4164476,-18125,-4146325,1346732,-1332074,-1609,
0.20800000000000016,1597403415.5791066,4157217,-141378,-4021481,5485887,-5345612,-88411,
0.21200000000000016,1597403415.5791447,4171374,-136218,-4027353,6807036,-6787545,-23621,
0.21600000000000016,1597403415.579183,4174575,-7466,-4158936,2484446,-2494133,-1301,
0.22000000000000017,1597403415.5792215,4171386,125445,-4291791,87458,-92794,-18,
0.22400000000000017,1597403415.5792584,4164522,139170,-4303577,1327755,-1313656,-1312,
0.22800000000000017,1597403415.5793085,4156633,20954,-4183826,5436116,-5298176,-87457,
0.23200000000000018,1597403415.579348,4171472,-119456,-4044185,6775751,-6755668,-24191,
0.23600000000000018,1597403415.5793874,4174759,-151862,-4014692,2444696,-2454312,-1327,
0.24000000000000019,1597403415.5794256,4171395,-46072,-4120294,84326,-89516,-33,
0.2440000000000002,1597403415.579463,4164737,99631,-4263970,1329034,-1314920,-1277,
0.2480000000000002,1597403415.5795019,4158148,150147,-4312915,5444238,-5306553,-86851,
0.25200000000000017,1597403415.57954,4171358,58489,-4222007,6789562,-6769049,-24337,
0.25600000000000017,1597403415.5795784,4174642,-90178,-4076292,2466998,-2476620,-1331,
0.2600000000000002,1597403415.5796156,4171353,-158008,-4008391,86433,-91705,9,
0.2640000000000002,1597403415.5796554,4164582,-81940,-4082429,1326415,-1312554,-1257,
0.2680000000000002,1597403415.5796926,4157955,67296,-4229981,5434317,-5296992,-86520,
0.2720000000000002,1597403415.579745,4171381,151361,-4314790,6807081,-6787021,-24165,
0.2760000000000002,1597403415.579784,4174734,92114,-4258547,2491110,-2500768,-1343,
0.2800000000000002,1597403415.5798287,4171491,-55331,-4111135,86686,-91919,-15,
0.2840000000000002,1597403415.5798666,4164715,-154269,-4010265,1321276,-1306988,-1108,
0.2880000000000002,1597403415.579908,4156774,-112804,-4050036,5455316,-5309856,-91285,
0.2920000000000002,1597403415.5799453,4171305,30495,-4194008,6817502,-6795214,-26045,
0.2960000000000002,1597403415.5799828,4174710,142764,-4309193,2500599,-2510300,-1368,
0.3000000000000002,1597403415.580023,4171404,119719,-4286088,87159,-92378,-89,
0.3040000000000002,1597403415.5800602,4164648,-17179,-4147280,1322115,-1308421,-1228,
0.3080000000000002,1597403415.5800986,4157885,-140945,-4021907,5423490,-5289487,-85009,
0.3120000000000002,1597403415.580137,4171450,-136731,-4026881,6789167,-6769381,-23762,
0.3160000000000002,1597403415.5801754,4174650,-8428,-4158008,2505540,-2515167,-1327,
0.32000000000000023,1597403415.5802257,4171437,124880,-4291250,87707,-93014,-90,
0.32400000000000023,1597403415.5802655,4164616,139539,-4303984,1319286,-1305331,-1294,
0.32800000000000024,1597403415.5803027,4157391,21887,-4184722,5453187,-5308161,-91411,
0.33200000000000024,1597403415.580342,4171371,-118833,-4044754,6834863,-6812122,-26189,
0.33600000000000024,1597403415.5803804,4174656,-152133,-4014335,2520543,-2530149,-1351,
0.34000000000000025,1597403415.5804179,4171419,-46992,-4119417,88348,-93657,-67,
0.34400000000000025,1597403415.5804565,4164593,98905,-4263312,1311055,-1297799,-1046,
0.34800000000000025,1597403415.5804956,4157930,150277,-4313028,5404612,-5265099,-87621,
0.35200000000000026,1597403415.5805326,4171360,59346,-4222874,6816028,-6793685,-25643,
0.35600000000000026,1597403415.580572,4174597,-89363,-4077120,2534305,-2543873,-1377,
0.36000000000000026,1597403415.580609,4171481,-158017,-4008455,89571,-94951,-31,
0.36400000000000027,1597403415.5806603,4164782,-82752,-4081686,1315439,-1302037,-1070,
0.36800000000000027,1597403415.580701,4157056,66435,-4229230,5405367,-5266470,-87408,
0.3720000000000003,1597403415.5807462,4171227,151247,-4314722,6803680,-6782339,-25152,
0.3760000000000003,1597403415.580783,4174602,92853,-4259264,2509431,-2519014,-1394,
