time,,,,,,,
0.0,1597404513.5376368,-42890,616,4168772,91651,-4172689,-85651,
0.004,1597404513.537701,-677,261,4169630,73422,-4247633,-608,
0.008,1597404513.5377457,929,210,4169799,53985,-4232350,2476,
0.012,1597404513.5377905,-18395,689,4168712,33681,-4202856,925,
0.016,1597404513.537835,-57862,1011,4168049,12812,-4096444,-75653,
0.02,1597404513.5378792,-42859,694,4168674,-8297,-4062898,-95318,
0.024,1597404513.5379386,-816,233,4169629,-29346,-4144794,-600,
0.028,1597404513.5379822,1040,143,4169895,-49974,-4128926,2733,
0.032,1597404513.5380216,-17971,677,4168820,-69839,-4100003,1239,
0.036000000000000004,1597404513.5380673,-58469,991,4168080,-88724,-4003332,-67873,
0.04000000000000001,1597404513.5381114,-44388,694,4168693,-106290,-3977707,-82853,
0.04400000000000001,1597404513.5381544,-840,254,4169624,-122237,-4051942,-573,
0.048000000000000015,1597404513.538198,1105,145,4169908,-136324,-4042511,2719,
0.05200000000000002,1597404513.5382404,-17793,668,4168806,-148270,-4021534,1175,
0.05600000000000002,1597404513.5382853,-57589,1020,4168142,-157943,-3933567,-68170,
0.060000000000000026,1597404513.5383267,-43263,691,4168728,-165167,-3917698,-83595,
0.06400000000000003,1597404513.5383787,-788,259,4169635,-169872,-4004340,-542,
0.06800000000000003,1597404513.5384216,1119,159,4169866,-171939,-4006956,2736,
0.07200000000000004,1597404513.5384612,-18002,633,4168783,-171296,-3998463,1219,
0.07600000000000004,1597404513.538499,-56020,1023,4168185,-168031,-3924600,-66812,
0.08000000000000004,1597404513.5385377,-42340,690,4168759,-162211,-3920991,-83374,
0.08400000000000005,1597404513.5385745,-715,245,4169661,-153861,-4020398,-526,
0.08800000000000005,1597404513.5386112,1040,172,4169866,-143133,-4035679,2708,
0.09200000000000005,1597404513.5386496,-17570,682,4168782,-130189,-4039518,1170,
0.09600000000000006,1597404513.538688,-56697,1013,4168140,-115217,-3977933,-66605,
0.10000000000000006,1597404513.538725,-43281,679,4168779,-98521,-3984925,-83174,
0.10400000000000006,1597404513.5387652,-771,235,4169644,-80345,-4093861,-576,
0.10800000000000007,1597404513.5388043,1142,165,4169910,-60963,-4117859,2687,
0.11200000000000007,1597404513.5388517,-18016,673,4168773,-40664,-4129140,1217,
0.11600000000000008,1597404513.538892,-57732,1024,4168057,-19778,-4072708,-67223,
0.12000000000000008,1597404513.5389297,-44484,633,4168695,1291,-4083172,-84720,
0.12400000000000008,1597404513.5389678,-826,254,4169616,22293,-4196443,-656,
0.12800000000000009,1597404513.539005,1162,190,4169900,42974,-4221801,2640,
0.1320000000000001,1597404513.5390422,-17719,681,4168794,62975,-4232727,1195,
0.1360000000000001,1597404513.5390809,-56697,1047,4168103,81928,-4175817,-65970,
0.1400000000000001,1597404513.5391188,-43402,706,4168741,99437,-4181026,-84999,
0.1440000000000001,1597404513.5391555,-858,218,4169658,115307,-4289408,-682,
0.1480000000000001,1597404513.5391927,1201,123,4169897,129393,-4308156,2611,
0.1520000000000001,1597404513.5392299,-17701,672,4168798,141389,-4311149,1153,
0.1560000000000001,1597404513.5392685,-57338,991,4168121,151085,-4242496,-68137,
0.16000000000000011,1597404513.5393162,-44333,672,4168731,158336,-4237061,-87765,
0.16400000000000012,1597404513.5393548,-670,185,4169637,163001,-4337069,-712,
0.16800000000000012,1597404513.5393932,1126,166,4169866,165036,-4343771,2556,
0.17200000000000013,1597404513.5394301,-17006,614,4168832,164493,-4334294,1187,
0.17600000000000013,1597404513.5394661,-56136,964,4168119,161293,-4253779,-67338,
0.18000000000000013,1597404513.5395045,-44252,634,4168726,155442,-4231773,-90097,
0.18400000000000014,1597404513.5395432,-703,203,4169620,147068,-4321140,-705,
0.18800000000000014,1597404513.5395799,1264,114,4169889,136337,-4315200,2655,
0.19200000000000014,1597404513.5396183,-17338,619,4168801,123434,-4293253,1172,
0.19600000000000015,1597404513.5396562,-55890,968,4168142,108522,-4202895,-65480,
0.20000000000000015,1597404513.5397065,-43921,696,4168693,91878,-4173162,-85182,
0.20400000000000015,1597404513.539745,-834,236,4169645,73669,-4247753,-674,
0.20800000000000016,1597404513.539784,1287,151,4169927,54214,-4233064,2645,
0.21200000000000016,1597404513.539833,-17333,668,4168810,33932,-4203724,1132,
0.21600000000000016,1597404513.5398731,-57573,964,4168140,13054,-4105923,-66967,
0.22000000000000017,1597404513.5399098,-45457,640,4168772,-8027,-4071596,-86953,
0.22400000000000017,1597404513.5399487,-849,237,4169665,-29075,-4145070,-610,
0.22800000000000017,1597404513.5399866,1234,145,4169911,-49718,-4129129,2731,
0.23200000000000018,1597404513.5400252,-17197,627,4168805,-69606,-4100297,1288,
0.23600000000000018,1597404513.5400617,-55398,1001,4168148,-88503,-4006994,-64561,
0.24000000000000019,1597404513.5401006,-43740,708,4168717,-106079,-3975674,-84849,
