time,,,,,,,
0.0,1597402793.633137,-40698,2760,1512,4166045,-86687,-4062563,
0.004,1597402793.6331985,-4223,2181,2034,4166496,-85811,-4088076,
0.008,1597402793.6332397,1077,1961,2277,4166673,-83612,-4094124,
0.012,1597402793.6332817,-9648,2305,1880,4166354,-80113,-4091170,
0.016,1597402793.6333241,-32523,2775,1496,4166007,-75382,-4080253,
0.02,1597402793.633368,-41441,2666,1555,4166079,-69503,-4080002,
0.024,1597402793.6334116,-4187,2165,2037,4166502,-62592,-4111377,
0.028,1597402793.6334608,1139,2024,2276,4166675,-54702,-4123078,
0.032,1597402793.6335118,-9677,2414,1829,4166300,-46003,-4125259,
0.036000000000000004,1597402793.6335554,-33082,2775,1455,4166035,-36595,-4118960,
0.04000000000000001,1597402793.6336,-41399,2734,1506,4166034,-26659,-4122627,
0.04400000000000001,1597402793.6336422,-4062,2235,1982,4166511,-16351,-4157498,
0.048000000000000015,1597402793.6336849,1025,2036,2209,4166692,-5844,-4171820,
0.05200000000000002,1597402793.6337266,-9372,2395,1856,4166381,4729,-4176083,
0.05600000000000002,1597402793.6337721,-32455,2838,1476,4166048,15214,-4170784,
0.060000000000000026,1597402793.6338148,-40128,2738,1537,4166077,25423,-4174786,
0.06400000000000003,1597402793.6338534,-4002,2233,2049,4166456,35203,-4209094,
0.06800000000000003,1597402793.6338959,1091,2050,2268,4166629,44400,-4222099,
0.07200000000000004,1597402793.6339338,-9610,2427,1833,4166327,52845,-4224077,
0.07600000000000004,1597402793.6339827,-32260,2850,1429,4166011,60426,-4215879,
0.08000000000000004,1597402793.6340208,-40888,2775,1457,4166083,67024,-4216158,
0.08400000000000005,1597402793.634058,-4244,2178,2024,4166513,72513,-4246384,
0.08800000000000005,1597402793.6340954,934,2017,2238,4166694,76849,-4254596,
0.09200000000000005,1597402793.634132,-9700,2383,1811,4166362,79927,-4251302,
0.09600000000000006,1597402793.6341677,-32343,2860,1425,4166005,81705,-4237406,
0.10000000000000006,1597402793.6342058,-41362,2711,1500,4166083,82154,-4231504,
0.10400000000000006,1597402793.6342447,-4175,2175,2058,4166494,81264,-4255190,
0.10800000000000007,1597402793.6342824,1027,2057,2249,4166683,79070,-4256773,
0.11200000000000007,1597402793.63432,-9519,2450,1847,4166326,75590,-4246846,
0.11600000000000008,1597402793.634356,-32684,2830,1424,4166043,70894,-4226750,
0.12000000000000008,1597402793.6344047,-40797,2823,1438,4166016,65024,-4214951,
0.12400000000000008,1597402793.634443,-4033,2226,2003,4166477,58090,-4231907,
0.12800000000000009,1597402793.6344805,1124,2071,2215,4166698,50208,-4227921,
0.1320000000000001,1597402793.6345174,-9523,2440,1863,4166287,41517,-4212844,
0.1360000000000001,1597402793.634555,-32387,2815,1420,4166047,32143,-4188066,
0.1400000000000001,1597402793.634592,-40770,2793,1477,4166091,22186,-4172368,
0.1440000000000001,1597402793.6346288,-4131,2191,2018,4166532,11840,-4185796,
0.1480000000000001,1597402793.6346657,1018,2039,2229,4166685,1320,-4179100,
0.1520000000000001,1597402793.6347022,-9495,2439,1834,4166277,-9247,-4162034,
0.1560000000000001,1597402793.6347406,-32658,2771,1467,4165995,-19702,-4136097,
0.16000000000000011,1597402793.6347778,-40997,2720,1534,4166130,-29901,-4120360,
0.16400000000000012,1597402793.6348286,-4126,2199,2054,4166506,-39702,-4134196,
0.16800000000000012,1597402793.634868,1097,2052,2260,4166665,-48921,-4128816,
0.17200000000000013,1597402793.6349041,-9391,2438,1846,4166299,-57395,-4113903,
0.17600000000000013,1597402793.6349413,-32828,2837,1459,4165965,-64961,-4090711,
0.18000000000000013,1597402793.6349797,-41483,2723,1521,4166113,-71544,-4078119,
0.18400000000000014,1597402793.635017,-4143,2189,2064,4166464,-77059,-4096827,
0.18800000000000014,1597402793.635054,1042,2007,2282,4166653,-81384,-4096303,
0.19200000000000014,1597402793.6350896,-9694,2382,1896,4166352,-84456,-4086856,
0.19600000000000015,1597402793.6351275,-32906,2840,1482,4166020,-86252,-4069984,
0.20000000000000015,1597402793.6351638,-40381,2768,1526,4166077,-86722,-4064034,
0.20400000000000015,1597402793.6352012,-4010,2195,2054,4166505,-85854,-4088103,
0.20800000000000016,1597402793.635238,959,2000,2299,4166674,-83667,-4094133,
0.21200000000000016,1597402793.6352859,-9542,2449,1854,4166387,-80188,-4091229,
0.21600000000000016,1597402793.6353235,-32325,2845,1466,4166040,-75481,-4080103,
0.22000000000000017,1597402793.6353614,-40957,2757,1534,4166099,-69611,-4079436,
0.22400000000000017,1597402793.6353977,-4190,2167,2044,4166511,-62707,-4111241,
0.22800000000000017,1597402793.6354349,1074,2031,2256,4166689,-54834,-4122948,
0.23200000000000018,1597402793.6354733,-9539,2405,1844,4166374,-46107,-4125268,
0.23600000000000018,1597402793.6355093,-32600,2781,1476,4166031,-36738,-4118994,
0.24000000000000019,1597402793.635547,-41176,2706,1528,4166052,-26804,-4122552,
0.2440000000000002,1597402793.6355827,-4195,2163,2012,4166491,-16505,-4157341,
0.2480000000000002,1597402793.6356204,1046,2050,2222,4166643,-5958,-4171720,
0.25200000000000017,1597402793.6356573,-9373,2389,1857,4166298,4613,-4175881,
0.25600000000000017,1597402793.635704,-32333,2813,1471,4165988,15119,-4170971,
0.2600000000000002,1597402793.6357415,-42113,2724,1516,4166042,25340,-4175130,
0.2640000000000002,1597402793.6357791,-4345,2176,2054,4166485,35112,-4208919,
0.2680000000000002,1597402793.6358247,959,2023,2226,4166690,44306,-4221984,
0.2720000000000002,1597402793.635863,-9497,2405,1816,4166354,52728,-4224040,
0.2760000000000002,1597402793.6358993,-32283,2821,1469,4166050,60354,-4216147,
0.2800000000000002,1597402793.6359375,-41294,2750,1489,4166066,66971,-4216505,
0.2840000000000002,1597402793.6359732,-4288,2175,2042,4166501,72445,-4246304,
0.2880000000000002,1597402793.6360111,1010,2016,2243,4166707,76763,-4254481,
0.2920000000000002,1597402793.636048,-9566,2386,1874,4166326,79855,-4251152,
0.2960000000000002,1597402793.636084,-32435,2807,1484,4165982,81662,-4237072,
0.3000000000000002,1597402793.6361215,-41897,2733,1527,4166003,82138,-4231330,
0.3040000000000002,1597402793.636174,-4236,2223,2034,4166452,81247,-4255154,
0.3080000000000002,1597402793.6362133,1051,2043,2246,4166671,79074,-4256758,
0.3120000000000002,1597402793.6362505,-9409,2405,1842,4166358,75611,-4246892,
0.3160000000000002,1597402793.6362875,-31808,2829,1463,4165988,70916,-4226503,
0.32000000000000023,1597402793.6363235,-40971,2736,1516,4166037,65065,-4214321,
0.32400000000000023,1597402793.6363602,-4225,2236,2026,4166476,58143,-4231987,
0.32800000000000024,1597402793.6363978,1010,2010,2239,4166721,50286,-4228024,
0.33200000000000024,1597402793.6364346,-9775,2374,1836,4166335,41598,-4212844,
0.33600000000000024,1597402793.6364715,-32338,2817,1469,4166011,32233,-4188103,
0.34000000000000025,1597402793.6365097,-40612,2745,1503,4166068,22297,-4172040,
0.34400000000000025,1597402793.6365457,-4239,2184,2040,4166494,11952,-4185818,
0.34800000000000025,1597402793.636582,1079,1973,2236,4166673,1423,-4179129,
0.35200000000000026,1597402793.6366282,-9731,2349,1828,4166366,-9157,-4162151,
0.35600000000000026,1597402793.636669,-32772,2792,1459,4166068,-19631,-4135997,
0.36000000000000026,1597402793.636705,-41223,2684,1519,4166086,-29828,-4119487,
0.36400000000000027,1597402793.636745,-4146,2201,2002,4166502,-39603,-4134256,
0.36800000000000027,1597402793.636781,1140,2031,2208,4166665,-48805,-4128897,
0.3720000000000003,1597402793.6368182,-9528,2417,1834,4166328,-57276,-4114014,
0.3760000000000003,1597402793.6368554,-32583,2774,1462,4166018,-64869,-4090424,
0.3800000000000003,1597402793.6368914,-41739,2710,1504,4166074,-71472,-4077362,
0.3840000000000003,1597402793.6369274,-4198,2176,2018,4166507,-77016,-4096838,
0.3880000000000003,1597402793.6369753,1079,1976,2255,4166663,-81370,-4096321,
