time,,,,,,,
0.0,1597410401.4002056,5472787,-150367,-5354207,2238,-7187,1036,
0.004,1597410401.4002779,4484472,-138836,-5365985,2285,-7148,1003,
0.008,1597410401.4003282,4687356,-125158,-5379823,2025,-6933,1022,
0.012,1597410401.4003801,5521609,-109568,-5395375,2208,-7224,968,
0.016,1597410401.4004343,5523454,-92315,-5412597,2205,-7232,900,
0.02,1597410401.4004855,5470635,-73629,-5430959,2206,-7210,956,
0.024,1597410401.4005368,4459912,-53872,-5450920,2312,-7247,981,
0.028,1597410401.40059,4689465,-33372,-5471585,2145,-6971,1021,
0.032,1597410401.400638,5521783,-12365,-5492581,2236,-7152,954,
0.036000000000000004,1597410401.4006898,5524348,8697,-5513599,2214,-7213,985,
0.04000000000000001,1597410401.400742,5470652,29651,-5534350,2156,-7208,1036,
0.04400000000000001,1597410401.4008071,4458772,50120,-5554927,2281,-7176,1032,
0.048000000000000015,1597410401.4008598,4689231,69736,-5574858,2048,-6902,1016,
0.05200000000000002,1597410401.4009123,5521596,88180,-5593202,2191,-7215,945,
0.05600000000000002,1597410401.4009633,5523718,105142,-5609981,2218,-7254,954,
0.060000000000000026,1597410401.4010146,5469946,120425,-5625078,2170,-7230,1033,
0.06400000000000003,1597410401.4010625,4417799,133746,-5638446,2167,-7222,1014,
0.06800000000000003,1597410401.4011123,4654710,144961,-5649956,2050,-6932,1037,
0.07200000000000004,1597410401.4011579,5521551,153793,-5658705,2225,-7211,958,
0.07600000000000004,1597410401.4012022,5524024,160120,-5664952,2210,-7259,975,
0.08000000000000004,1597410401.4012477,5470825,163868,-5668481,2200,-7189,1033,
0.08400000000000005,1597410401.401291,4440892,164978,-5669708,2248,-7195,1011,
0.08800000000000005,1597410401.4013488,4664627,163450,-5668281,1997,-6947,1027,
0.09200000000000005,1597410401.4013963,5520800,159272,-5664165,2150,-7212,945,
0.09600000000000006,1597410401.401441,5523818,152518,-5657391,2176,-7231,954,
0.10000000000000006,1597410401.4014857,5472088,143315,-5647941,2228,-7181,970,
0.10400000000000006,1597410401.401533,4461150,131805,-5636610,2239,-7188,994,
0.10800000000000007,1597410401.401579,4681786,118133,-5623209,1976,-6852,1014,
0.11200000000000007,1597410401.4016235,5521442,102556,-5607471,2152,-7153,908,
0.11600000000000008,1597410401.4016683,5524061,85334,-5590245,2211,-7194,996,
0.12000000000000008,1597410401.401713,5472316,66657,-5571293,2194,-7151,1025,
0.12400000000000008,1597410401.4017568,4447447,46872,-5551663,2215,-7190,1022,
0.12800000000000009,1597410401.4018016,4677604,26327,-5531222,1975,-6901,1016,
0.1320000000000001,1597410401.401862,5521779,5339,-5510285,2123,-7131,948,
0.1360000000000001,1597410401.4019074,5524175,-15748,-5489218,2183,-7114,902,
0.1400000000000001,1597410401.4019506,5472170,-36668,-5467961,2232,-7169,960,
0.1440000000000001,1597410401.4019935,4454870,-57083,-5447812,2303,-7126,982,
0.1480000000000001,1597410401.4020402,4678947,-76672,-5428359,2004,-6899,1027,
0.1520000000000001,1597410401.4020839,5521710,-95120,-5409815,2199,-7111,975,
0.1560000000000001,1597410401.402128,5523836,-112131,-5392748,2222,-7202,943,
0.16000000000000011,1597410401.4021716,5470911,-127433,-5377261,2185,-7157,989,
0.16400000000000012,1597410401.4022207,4409186,-140784,-5363961,2270,-7165,985,
0.16800000000000012,1597410401.4022655,4670800,-151996,-5353031,2004,-6824,1000,
0.17200000000000013,1597410401.402309,5522257,-160821,-5344223,2135,-7132,964,
0.17600000000000013,1597410401.4023545,5524390,-167170,-5337707,2165,-7181,962,
0.18000000000000013,1597410401.4024117,5471587,-170933,-5333702,2147,-7117,1010,
0.18400000000000014,1597410401.4024577,4463654,-172062,-5332668,2250,-7125,981,
0.18800000000000014,1597410401.402502,4682932,-170550,-5334437,2086,-6889,1020,
0.19200000000000014,1597410401.4025462,5521648,-166352,-5338608,2209,-7120,972,
0.19600000000000015,1597410401.4025912,5524230,-159662,-5345284,2205,-7182,909,
0.20000000000000015,1597410401.4026353,5474146,-150463,-5354212,2199,-7187,996,
0.20400000000000015,1597410401.402679,4496050,-138951,-5365829,2246,-7141,1047,
0.20800000000000016,1597410401.402723,4688764,-125308,-5379596,1978,-6884,994,
0.21200000000000016,1597410401.4027686,5521348,-109750,-5395210,2142,-7143,936,
0.21600000000000016,1597410401.4028115,5523903,-92471,-5412355,2209,-7102,917,
0.22000000000000017,1597410401.4028568,5472237,-73832,-5430823,2210,-7171,921,
0.22400000000000017,1597410401.4029,4486164,-54105,-5450638,2277,-7206,1032,
0.22800000000000017,1597410401.4029589,4686165,-33621,-5471367,2004,-6890,1039,
0.23200000000000018,1597410401.4030042,5521280,-12647,-5492346,2179,-7165,942,
0.23600000000000018,1597410401.40305,5523832,8443,-5513317,2179,-7227,968,
0.24000000000000019,1597410401.4030936,5473524,29408,-5534062,2258,-7169,948,
0.2440000000000002,1597410401.4031389,4489913,49862,-5554744,2257,-7105,939,
0.2480000000000002,1597410401.403182,4695165,69501,-5574546,2068,-6923,1002,
0.25200000000000017,1597410401.4032276,5521812,87970,-5592884,2241,-7272,959,
0.25600000000000017,1597410401.403271,5524214,104989,-5609827,2239,-7237,953,
0.2600000000000002,1597410401.403315,5472961,120302,-5624958,2188,-7171,962,
0.2640000000000002,1597410401.40336,4473750,133674,-5638458,2307,-7137,975,
0.2680000000000002,1597410401.4034176,4702106,144831,-5649862,2059,-6907,1023,
0.2720000000000002,1597410401.4034636,5522311,153676,-5658590,2145,-7178,963,
0.2760000000000002,1597410401.4035068,5524140,160054,-5664905,2240,-7235,981,
0.2800000000000002,1597410401.403552,5473491,163853,-5668460,2183,-7232,1011,
0.2840000000000002,1597410401.4035952,4482300,165018,-5669787,2222,-7207,997,
0.2880000000000002,1597410401.403641,4683578,163480,-5668462,1994,-6925,1036,
0.2920000000000002,1597410401.4036846,5521575,159345,-5664290,2159,-7153,933,
0.2960000000000002,1597410401.40373,5524262,152654,-5657545,2300,-7273,936,
0.3000000000000002,1597410401.4037743,5472099,143469,-5648093,2227,-7253,949,
0.3040000000000002,1597410401.4038277,4469373,131982,-5636717,2254,-7169,1012,
0.3080000000000002,1597410401.4038813,4684034,118334,-5623326,2027,-6898,1016,
0.3120000000000002,1597410401.4039285,5521577,102772,-5607731,2216,-7201,966,
0.3160000000000002,1597410401.4039853,5523856,85558,-5590320,2227,-7302,917,
0.32000000000000023,1597410401.4040308,5473406,66928,-5571558,2200,-7155,984,
0.32400000000000023,1597410401.4040775,4489536,47206,-5551957,2246,-7173,943,
0.32800000000000024,1597410401.4041219,4691185,26628,-5531667,2065,-6880,1027,
0.33200000000000024,1597410401.4041672,5521750,5624,-5510673,2145,-7095,968,
0.33600000000000024,1597410401.4042096,5524198,-15505,-5489474,2198,-7238,982,
0.34000000000000025,1597410401.4042544,5473601,-36397,-5468323,2244,-7226,963,
0.34400000000000025,1597410401.4042964,4483517,-56785,-5447883,2277,-7216,963,
0.34800000000000025,1597410401.404341,4682829,-76413,-5428616,2032,-6835,990,
0.35200000000000026,1597410401.4043832,5521346,-94896,-5410105,2176,-7100,913,
0.35600000000000026,1597410401.4044275,5523801,-111935,-5392981,2305,-7218,904,
0.36000000000000026,1597410401.4044704,5473392,-127265,-5377455,2285,-7244,970,
0.36400000000000027,1597410401.4045272,4484805,-140624,-5364147,2283,-7170,976,
0.36800000000000027,1597410401.4045722,4694703,-151866,-5353177,2083,-6914,1018,
0.3720000000000003,1597410401.404616,5521789,-160750,-5344256,2161,-7132,942,
0.3760000000000003,1597410401.4046588,5524058,-167117,-5337827,2221,-7189,987,
0.3800000000000003,1597410401.4047036,5474101,-170889,-5333677,2219,-7129,990,
0.3840000000000003,1597410401.4047463,4475932,-172072,-5332726,2255,-7156,973,
0.3880000000000003,1597410401.4047906,4705343,-170619,-5334362,2022,-6849,985,
0.3920000000000003,1597410401.4048355,5522112,-166522,-5338563,2170,-7074,996,
0.3960000000000003,1597410401.404879,5524602,-159801,-5345095,2166,-7156,971,
0.4000000000000003,1597410401.4049218,5475025,-150602,-5354040,2171,-7189,1026,
0.4040000000000003,1597410401.4049819,4495578,-139117,-5365604,2216,-7194,963,
0.4080000000000003,1597410401.4050276,4696703,-125516,-5379525,2007,-6883,1001,
