time,,,,,,,
0.0,1597400481.8371148,-78244,-4091020,4282,940593,-948682,-3021,
0.004,1597400481.8372366,-73137,-4096221,2951,-19051,8885,-1155,
0.008,1597400481.837323,-66943,-4102192,4453,17011,-21192,3344,
0.012,1597400481.8374157,-59711,-4109313,5450,764945,-746164,7918,
0.016,1597400481.8375037,-51548,-4117560,5275,2485956,-2471825,-2322,
0.02,1597400481.837595,-42599,-4126661,4258,942998,-951079,-2988,
0.024,1597400481.8376825,-32983,-4136387,2963,-19110,8883,-1170,
0.028,1597400481.8377664,-22890,-4146242,4409,16210,-20557,3316,
0.032,1597400481.8378482,-12500,-4156503,5403,752231,-733246,7330,
0.036000000000000004,1597400481.8379333,-1905,-4167220,5295,2493052,-2477881,-3048,
0.04000000000000001,1597400481.8380187,8678,-4177922,4282,960937,-968951,-3014,
0.04400000000000001,1597400481.838133,19149,-4188462,2929,-18722,8473,-1201,
0.048000000000000015,1597400481.838221,29267,-4198336,4403,16532,-20910,3413,
0.05200000000000002,1597400481.8383079,38936,-4207883,5403,762056,-743192,8164,
0.05600000000000002,1597400481.8383942,47943,-4217041,5298,2522034,-2506188,-2792,
0.060000000000000026,1597400481.8384812,56171,-4225406,4258,976654,-984651,-3062,
0.06400000000000003,1597400481.8385613,63518,-4232821,2919,-18281,8079,-1240,
0.06800000000000003,1597400481.8386433,69825,-4238959,4429,16790,-21063,3416,
0.07200000000000004,1597400481.83872,75003,-4243982,5428,767386,-748244,8393,
0.07600000000000004,1597400481.8387988,78979,-4248060,5299,2528351,-2513008,-2121,
0.08000000000000004,1597400481.838871,81704,-4250957,4320,984970,-993017,-2988,
0.08400000000000005,1597400481.8389437,83106,-4252425,2956,-17889,7671,-1224,
0.08800000000000005,1597400481.839017,83172,-4252328,4434,15935,-20225,3391,
0.09200000000000005,1597400481.83912,81911,-4250930,5447,762652,-743416,7865,
0.09600000000000006,1597400481.8391955,79316,-4248447,5274,2533157,-2516701,-3411,
0.10000000000000006,1597400481.839269,75461,-4244760,4316,990456,-998433,-3004,
0.10400000000000006,1597400481.8393562,70397,-4239728,2973,-17545,7411,-1233,
0.10800000000000007,1597400481.83943,64203,-4233346,4424,17061,-21315,3356,
0.11200000000000007,1597400481.8395038,56963,-4226000,5423,784171,-764679,8621,
0.11600000000000008,1597400481.8395772,48816,-4217998,5185,2579307,-2563900,-2265,
0.12000000000000008,1597400481.8396542,39874,-4209174,4281,1034150,-1042208,-2990,
0.12400000000000008,1597400481.8397267,30284,-4199649,3008,-15582,5607,-1166,
0.12800000000000009,1597400481.8398032,20172,-4189336,4440,15242,-19574,3285,
0.1320000000000001,1597400481.839925,9722,-4178729,5419,747343,-727339,7973,
0.1360000000000001,1597400481.8400042,-855,-4168310,5419,2519573,-2501345,-2955,
0.1400000000000001,1597400481.8400803,-11441,-4157853,4340,978722,-986522,-2938,
0.1440000000000001,1597400481.840156,-21868,-4147486,2931,-17755,7525,-1234,
0.1480000000000001,1597400481.8402302,-31990,-4137161,4469,16122,-20304,3280,
